14710072,Q1
14710080,Q1
07320582,Q1
15453278,Q1
14710056,Q1
14710064,Q1
15424863,Q1
00079235,Q1
00928674,Q1
10974172,Q1
15454282,Q1
00664146,Q1
14741741,Q1
14741733,Q1
1474175X,Q1
15454509,Q1
00664154,Q1
00346861,Q1
15390756,Q1
10614036,Q1
14764687,Q1
00280836,Q1
15487091,Q1
15487105,Q1
14710048,Q1
1471003X,Q1
14764660,Q1
14761122,Q1
00335533,Q1
15314650,Q1
17483387,Q1
08864691,Q1
00092665,Q1
15206890,Q1
10870156,Q1
17494885,Q1
15221210,Q1
00319333,Q1
15454126,Q1
0147006X,Q1
17401526,Q1
10974180,Q1
10747613,Q1
19416520,Q1
19416067,Q1
03060012,Q1
14604744,Q1
15518930,Q1
15518922,Q1
01406736,Q1
1474547X,Q1
00284793,Q1
15334406,Q1
15406261,Q1
00221082,Q1
15495469,Q1
10889051,Q1
14657392,Q1
10788956,Q1
14702045,Q1
14745488,Q1
15356108,Q1
00664197,Q1
15452948,Q1
15308995,Q1
10810706,Q1
10974164,Q1
10972765,Q1
15534006,Q1
15534014,Q1
10976256,Q1
17452473,Q1
10130047,Q1
15292908,Q1
15292916,Q1
00368075,Q1
19345909,Q1
15435008,Q1
19475454,Q1
19475462,Q1
00664308,Q1
15452085,Q1
15459985,Q1
15459993,Q1
00129682,Q1
14680262,Q1
14606976,Q1
00018732,Q1
00796425,Q1
17554330,Q1
17554349,Q1
15504131,Q1
15495477,Q1
08909369,Q1
14741776,Q1
15204898,Q1
00014842,Q1
08966273,Q1
19410611,Q1
19411405,Q1
10922172,Q1
15451585,Q1
00664278,Q1
14733099,Q1
14744422,Q1
01695347,Q1
00221007,Q1
00018392,Q1
1076836X,Q1
10635157,Q1
17545692,Q1
0003486X,Q1
00014273,Q1
1936122X,Q1
01677640,Q1
09680004,Q1
13646613,Q1
07351097,Q1
08939454,Q1
14657368,Q1
0304405X,Q1
14747596,Q1
00220515,Q1
1543592X,Q1
09628924,Q1
17586798,Q1
1758678X,Q1
10575987,Q1
15458601,Q1
1467937X,Q1
00346527,Q1
0732183X,Q1
17542189,Q1
09359648,Q1
15306992,Q1
15306984,Q1
15210081,Q1
00316997,Q1
19466242,Q1
19466234,Q1
15453251,Q1
00664227,Q1
17444292,Q1
87551209,Q1
03637425,Q1
15376605,Q1
00029297,Q1
00219738,Q1
08938512,Q1
10986618,Q1
15454304,Q1
03621642,Q1
15530957,Q1
15530779,Q1
1461023X,Q1
14610248,Q1
22111247,Q1
19438206,Q1
01662236,Q1
00796700,Q1
0066426X,Q1
15451593,Q1
19313128,Q1
19457790,Q1
19457782,Q1
15524469,Q1
15524450,Q1
03601285,Q1
07374038,Q1
15371719,Q1
00332909,Q1
03701573,Q1
00028282,Q1
09624929,Q1
00015962,Q1
00219525,Q1
00097322,Q1
15244539,Q1
01689525,Q1
01628828,Q1
00223808,Q1
1537534X,Q1
0927796X,Q1
15485951,Q1
15485943,Q1
01686445,Q1
13624962,Q1
03051048,Q1
14602075,Q1
02614189,Q1
00025100,Q1
14679868,Q1
13697412,Q1
1421993X,Q1
03022838,Q1
15345807,Q1
00344885,Q1
13616633,Q1
01660616,Q1
14714981,Q1
14714906,Q1
17520894,Q1
17520908,Q1
16144961,Q1
1545293X,Q1
15278204,Q1
2214109X,Q1
10888683,Q1
15327957,Q1
15200477,Q1
00030007,Q1
15280012,Q1
00165085,Q1
22242759,Q1
22237755,Q1
10471987,Q1
14764989,Q1
00027863,Q1
15205126,Q1
19360851,Q1
1936086X,Q1
0163769X,Q1
2168622X,Q1
21686238,Q1
01052896,Q1
1600065X,Q1
09550674,Q1
10477039,Q1
15265455,Q1
19411383,Q1
15229645,Q1
0195668X,Q1
02767783,Q1
22138587,Q1
00278424,Q1
10916490,Q1
13697021,Q1
1545326X,Q1
00664219,Q1
15454487,Q1
00664170,Q1
00738301,Q1
01654101,Q1
20477538,Q1
14765578,Q1
13594184,Q1
19319401,Q1
17590884,Q1
17590876,Q1
00905364,Q1
10886834,Q1
08940347,Q1
01492063,Q1
00222429,Q1
15477185,Q1
14320533,Q1
00016322,Q1
15291006,Q1
20411723,Q1
00670049,Q1
15384365,Q1
17480132,Q1
00175749,Q1
14683288,Q1
14647931,Q1
00987484,Q1
16146840,Q1
16146832,Q1
00064971,Q1
15280020,Q1
00982997,Q1
15424766,Q1
15424774,Q1
2050084X,Q1
1044579X,Q1
10963650,Q1
19430264,Q1
15537404,Q1
15537390,Q1
01432095,Q1
10970266,Q1
14337851,Q1
15213773,Q1
14338351,Q1
19358237,Q1
00278874,Q1
15460738,Q1
15458636,Q1
17517362,Q1
17517370,Q1
10694730,Q1
15454118,Q1
15317331,Q1
00831972,Q1
10409238,Q1
15497798,Q1
15375943,Q1
00030554,Q1
14602156,Q1
00068950,Q1
17456916,Q1
17456924,Q1
08953309,Q1
1082989X,Q1
13601385,Q1
10432760,Q1
19457715,Q1
